sleeper ID,player,yr 1,probability 1st outcome,yr 2+ 1st outcome position rank,probability 2nd outcome,yr 2+ 2nd outcome position rank
4984,Josh Allen,1.5,80%,1.5,20%,7
4881,Lamar Jackson,1.5,80%,1.5,20%,7
11566,Jayden Daniels,3,70%,3,30%,14.5
6770,Joe Burrow,12,80%,12,20%,1.5
6904,Jalen Hurts,7,80%,7,20%,64.5
4046,Patrick Mahomes,7,70%,7,30%,3
6797,Justin Herbert,7,80%,7,20%,19.5
6804,Jordan Love,24,60%,24,40%,12
9758,C.J. Stroud,19.5,90%,19.5,10%,64.5
5849,Kyler Murray,19.5,60%,19.5,40%,64.5
11560,Caleb Williams,7,60%,7,40%,19.5
11564,Drake Maye,7,60%,7,40%,19.5
8183,Brock Purdy,7,60%,7,40%,19.5
11563,Bo Nix,19.5,60%,19.5,40%,7
4892,Baker Mayfield,19.5,90%,19.5,10%,64.5
9229,Anthony Richardson,64.5,95%,64.5,5%,1.5
3163,Jared Goff,12,60%,12,40%,24
3294,Dak Prescott,12,60%,12,40%,24
7523,Trevor Lawrence,7,60%,7,40%,19.5
11565,J.J. McCarthy,64.5,10%,19.5,90%,64.5
11559,Michael Penix,31,30%,26,70%,64.5
6768,Tua Tagovailoa,31,30%,26,70%,64.5
9228,Bryce Young,26,50%,26,50%,64.5
1234,Russell Wilson,64.5,80%,64.5,20%,26
4943,Sam Darnold,19.5,90%,19.5,10%,64.5
1166,Kirk Cousins,64.5,70%,64.5,30%,26
1373,Geno Smith,28.5,50%,28.5,50%,64.5
96,Aaron Rodgers,31,80%,31,20%,26
421,Matthew Stafford,14.5,80%,14.5,20%,1.5
9999,Will Levis,64.5,95%,64.5,5%,26
,Derek Carr,64.5,95%,64.5,5%,26
,Aidan O'Connell,64.5,80%,64.5,20%,64.5
7591,Justin Fields,64.5,95%,64.5,5%,14.5
2306,Jameis Winston,64.5,80%,64.5,20%,64.5
4017,Deshaun Watson,64.5,95%,64.5,5%,26
5870,Daniel Jones,19.5,60%,19.5,40%,64.5
,Sam Howell,64.5,80%,64.5,20%,64.5
,Gardner Minshew,64.5,80%,64.5,20%,64.5
7527,Mac Jones,64.5,80%,64.5,20%,25
,Jake Browning,64.5,80%,64.5,20%,64.5
,Drew Lock,64.5,80%,64.5,20%,64.5
,Kenny Pickett,64.5,80%,64.5,20%,64.5
3257,Jacoby Brissett,28.5,80%,64.5,20%,25
11562,Spencer Rattler,64.5,80%,64.5,20%,64.5
,Hendon Hooker,64.5,80%,64.5,20%,64.5
7610,Trey Lance,64.5,80%,64.5,20%,64.5
,Desmond Ridder,64.5,80%,64.5,20%,64.5
6136,Jarrett Stidham,64.5,80%,64.5,20%,64.5
8161,Malik Willis,19.5,20%,19.5,80%,64.5
,Tommy DeVito,64.5,80%,64.5,20%,64.5
,Jordan Travis,64.5,80%,64.5,20%,64.5
,Cooper Rush,64.5,80%,64.5,20%,64.5
11557,Joe Milton,64.5,80%,64.5,20%,64.5
,Dorian Thompson-Robinson,64.5,80%,64.5,20%,64.5
,Zach Wilson,64.5,80%,64.5,20%,64.5
,Mason Rudolph,64.5,80%,64.5,20%,64.5
,Andy Dalton,64.5,80%,64.5,20%,64.5
7083,Tyler Huntley,64.5,80%,64.5,20%,64.5
19,Joe Flacco,64.5,90%,64.5,10%,26
11256,Tyson Bagent,64.5,80%,64.5,20%,64.5
2307,Marcus Mariota,64.5,80%,64.5,20%,64.5
,Jake Haener,64.5,80%,64.5,20%,64.5
7585,Davis Mills,64.5,80%,64.5,20%,64.5
,Joshua Dobbs,64.5,80%,64.5,20%,64.5
,Kyle Trask,64.5,80%,64.5,20%,64.5
,Bailey Zappe,64.5,80%,64.5,20%,64.5
827,Tyrod Taylor,64.5,80%,64.5,20%,64.5
,Nick Mullens,64.5,80%,64.5,20%,64.5
,Taylor Heinicke,64.5,80%,64.5,20%,64.5
,Clayton Tune,64.5,80%,64.5,20%,64.5
,Skylar Thompson,64.5,80%,64.5,20%,64.5
,Mitchell Trubisky,64.5,80%,64.5,20%,64.5
3161,Carson Wentz,64.5,80%,64.5,20%,64.5
,Sam Ehlinger,64.5,80%,64.5,20%,64.5
1837,Jimmy Garoppolo,64.5,80%,64.5,20%,64.5
,Kyle Allen,64.5,80%,64.5,20%,64.5
,Malik Cunningham,64.5,80%,64.5,20%,64.5
,Michael Pratt,64.5,80%,64.5,20%,64.5
,Mike White,64.5,80%,64.5,20%,64.5
,P.J. Walker,64.5,80%,64.5,20%,64.5
,Ryan Tannehill,64.5,80%,64.5,20%,64.5
,Sean Clifford,64.5,80%,64.5,20%,64.5
,Kellen Mond,64.5,80%,64.5,20%,64.5
,Jaren Hall,64.5,80%,64.5,20%,64.5
,Devin Leary,64.5,80%,64.5,20%,64.5
,Teddy Bridgewater,64.5,80%,64.5,20%,64.5
,Tim Boyle,64.5,80%,64.5,20%,64.5
,C.J. Beathard,64.5,80%,64.5,20%,64.5
9509,Bijan Robinson,1.5,80%,1.5,20%,5
4866,Saquon Barkley,8.5,80%,8.5,20%,1
9221,Jahmyr Gibbs,1.5,80%,1.5,20%,5
8155,Breece Hall,14.5,80%,14.5,20%,5
9226,De'Von Achane,5,90%,5,10%,5
8151,Kenneth Walker,8.5,80%,8.5,20%,29
5850,Josh Jacobs,14.5,80%,14.5,20%,14.5
11584,Bucky Irving,14.5,80%,14.5,20%,5
4018,Joe Mixon,29,50%,29,50%,18.5
9224,Chase Brown,8.5,20%,8.5,80%,22.5
4035,Alvin Kamara,18.5,80%,18.5,20%,14.5
8150,Kyren Williams,14.5,80%,14.5,20%,29
3198,Derrick Henry,14.5,80%,14.5,20%,8.5
6813,Jonathan Taylor,3.5,50%,3.5,50%,8.5
8138,James Cook,8.5,20%,8.5,80%,14.5
7594,Chuba Hubbard,35.5,70%,35.5,30%,22.5
8154,Brian Robinson,50,70%,50,30%,29
8205,Isiah Pacheco,50,70%,50,30%,29
11655,Tyrone Tracy,50,80%,50,20%,41.5
7543,Travis Etienne,14.5,70%,14.5,30%,22.5
6790,D'Andre Swift,29,60%,29,40%,46.5
4034,Christian McCaffrey,3.5,50%,5,50%,8.5
7528,Najee Harris,119.5,80%,119.5,20%,54.5
7611,Rhamondre Stevenson,29,80%,29,20%,22.5
11583,Jonathon Brooks,35.5,90%,35.5,10%,14.5
4137,James Conner,41.5,50%,41.5,50%,54.5
5967,Tony Pollard,35.5,60%,35.5,40%,41.5
5892,David Montgomery,41.5,70%,41.5,30%,50
7588,Javonte Williams,18.5,70%,18.5,30%,41.5
4199,Aaron Jones,22.5,70%,22.5,30%,41.5
6806,J.K. Dobbins,22.5,70%,22.5,30%,41.5
11651,Isaac Guerendo,119.5,95%,119.5,5%,54.5
4988,Nick Chubb,54.5,80%,54.5,20%,41.5
11589,Trey Benson,22.5,50%,22.5,50%,50
8228,Jaylen Warren,22.5,60%,22.5,40%,41.5
9508,Tyjae Spears,35.5,40%,35.5,60%,41.5
4663,Austin Ekeler,119.5,95%,119.5,5%,46.5
8136,Rachaad White,46.5,50%,46.5,50%,41.5
9753,Zach Charbonnet,46.5,60%,22.5,40%,14.5
9225,Tank Bigsby,119.5,95%,119.5,5%,29
11576,Braelon Allen,119.5,80%,119.5,20%,41.5
11643,Jaylen Wright,119.5,95%,119.5,5%,46.5
8132,Tyler Allgeier,41.5,50%,41.5,50%,50
11575,Ray Davis,54.5,80%,54.5,20%,41.5
,Alexander Mattison,119.5,80%,119.5,20%,119.5
9757,Kendre Miller,54.5,95%,54.5,5%,29
11577,Will Shipley,54.5,50%,54.5,50%,119.5
11581,MarShawn Lloyd,119.5,95%,119.5,5%,54.5
11586,Blake Corum,41.5,80%,41.5,20%,29
7021,Rico Dowdle,35.5,50%,35.5,50%,41.5
,Gus Edwards,119.5,80%,119.5,20%,119.5
10235,Roschon Johnson,119.5,80%,119.5,20%,119.5
11579,Audric Estime,119.5,80%,119.5,20%,119.5
8143,Jerome Ford,119.5,80%,119.5,20%,119.5
9511,Keaton Mitchell,119.5,80%,119.5,20%,119.5
11439,Jaleel McLaughlin,119.5,80%,119.5,20%,119.5
,Ty Chandler,119.5,80%,119.5,20%,119.5
,Zack Moss,119.5,80%,119.5,20%,119.5
6130,Devin Singletary,119.5,80%,119.5,20%,119.5
,Raheem Mostert,119.5,80%,119.5,20%,119.5
,Miles Sanders,119.5,80%,119.5,20%,119.5
,Zamir White,119.5,80%,119.5,20%,119.5
,Ezekiel Elliott,119.5,80%,119.5,20%,119.5
6945,Antonio Gibson,119.5,80%,119.5,20%,119.5
8129,Dameon Pierce,119.5,80%,119.5,20%,119.5
8408,Jordan Mason,41.5,50%,41.5,50%,50
11647,Kimani Vidal,119.5,80%,119.5,20%,119.5
9506,Sean Tucker,119.5,80%,119.5,20%,119.5
4098,Kareem Hunt,119.5,80%,119.5,20%,119.5
5995,Justice Hill,119.5,80%,119.5,20%,119.5
,Cam Akers,119.5,80%,119.5,20%,119.5
,Khalil Herbert,119.5,80%,119.5,20%,119.5
11435,Emanuel Wilson,119.5,80%,119.5,20%,119.5
7567,Kenneth Gainwell,46.5,70%,46.5,30%,22.5
,Dylan Laube,119.5,80%,119.5,20%,119.5
11199,Emari Demercado,119.5,80%,119.5,20%,119.5
,Carson Steele,119.5,80%,119.5,20%,119.5
,Tyler Goodson,119.5,80%,119.5,20%,119.5
,Elijah Mitchell,119.5,80%,119.5,20%,119.5
,Trey Sermon,119.5,80%,119.5,20%,119.5
11570,Rasheen Ali,119.5,80%,119.5,20%,119.5
,Ameer Abdullah,119.5,80%,119.5,20%,119.5
,Ty Johnson,119.5,80%,119.5,20%,119.5
,Chris Brooks,119.5,80%,119.5,20%,119.5
,Sione Vaki,119.5,80%,119.5,20%,119.5
11571,Isaiah Davis,119.5,80%,119.5,20%,119.5
,Deuce Vaughn,119.5,80%,119.5,20%,119.5
,Frank Gore,119.5,80%,119.5,20%,119.5
10219,Chris Rodriguez,119.5,80%,119.5,20%,119.5
,AJ Dillon,119.5,80%,119.5,20%,119.5
,Tyler Badie,119.5,80%,119.5,20%,119.5
,Eric Gray,119.5,80%,119.5,20%,119.5
,Hassan Haskins,119.5,80%,119.5,20%,119.5
,Israel Abanikanda,119.5,80%,119.5,20%,119.5
,Jase McClellan,119.5,80%,119.5,20%,119.5
,Pierre Strong,119.5,80%,119.5,20%,119.5
,Julius Chestnut,119.5,80%,119.5,20%,119.5
4147,Samaje Perine,119.5,80%,119.5,20%,119.5
,Clyde Edwards-Helaire,119.5,80%,119.5,20%,119.5
,D'Ernest Johnson,119.5,80%,119.5,20%,119.5
,Kenny McIntosh,119.5,80%,119.5,20%,119.5
,D'Onta Foreman,119.5,80%,119.5,20%,119.5
,Jamaal Williams,119.5,80%,119.5,20%,119.5
,Chris Evans,119.5,80%,119.5,20%,119.5
,Ronnie Rivers,119.5,80%,119.5,20%,119.5
,Kendall Milton,119.5,80%,119.5,20%,119.5
,Trayveon Williams,119.5,80%,119.5,20%,119.5
,Cordarrelle Patterson,119.5,80%,119.5,20%,119.5
,JaMycal Hasty,119.5,80%,119.5,20%,119.5
,Craig Reynolds,119.5,80%,119.5,20%,119.5
,DeeJay Dallas,119.5,80%,119.5,20%,119.5
,Chase Edmonds,119.5,80%,119.5,20%,119.5
,Jeff Wilson,119.5,80%,119.5,20%,119.5
,Travis Homer,119.5,80%,119.5,20%,119.5
,Raheem Blackshear,119.5,80%,119.5,20%,119.5
,Joshua Kelley,119.5,80%,119.5,20%,119.5
,Evan Hull,119.5,80%,119.5,20%,119.5
,Isaiah Spiller,119.5,80%,119.5,20%,119.5
,Nyheim Hines,119.5,80%,119.5,20%,119.5
,Rashaad Penny,119.5,80%,119.5,20%,119.5
,James Robinson,119.5,80%,119.5,20%,119.5
,Jaret Patterson,119.5,80%,119.5,20%,119.5
,Deneric Prince,119.5,80%,119.5,20%,119.5
,Dillon Johnson,119.5,80%,119.5,20%,119.5
,Louis Rees-Zammit,119.5,80%,119.5,20%,119.5
11588,Jawhar Jordan,119.5,80%,119.5,20%,119.5
,Keaontay Ingram,119.5,80%,119.5,20%,119.5
